Full Address,Marker Label,Building Code,Filter,Site,Building,Address,Postcode,Service Directorate,Department,TENURE,TERM START,LEASE EXPIRY DATE,1954 ACT SECURITY,NOTICE PERIOD,TERM REMAINING (Yrs),GIA m2 Total,GIA m2 Clinical,GIA m2 Non Clinical,GIA m2 Void,Land Area (ha)
19 Tudor Road, E9 7SN, UK,The Greenhouse Medical Centre - The Greenhouse (Part of Ground Floor)  (2210),2210,City & Hackney,The Greenhouse Medical Centre,The Greenhouse (Part of Ground Floor) ,19 Tudor Road,E9 7SN,Primary Care/IG ,Clinical Teams,LEASEHOLD,2022-12-03 00:00:00,2027-11-29 00:00:00,No,3 months notice,3,307.822,,,0.0,0.0307822
301 Kingsland Road , E8 4DS, UK,Unit 6, 7 & 8 Kings Wharf - Unit 6, 7&8 Kings Wharf (2160),2160,Trust Wide,Unit 6, 7 & 8 Kings Wharf,Unit 6, 7&8 Kings Wharf,301 Kingsland Road ,E8 4DS,Corporate,MAPA Training,LEASEHOLD,2021-09-25 00:00:00,2026-09-25 00:00:00,Yes,6 Months,2,100.0,0.0,100.0,0.0,0.01
Newham Centre for Mental Health, Glen Road, E13 8SP, UK,Newham Centre for Mental Health - Newham Centre for Mental Health  (2133),2133,Newham,Newham Centre for Mental Health,Newham Centre for Mental Health ,Newham Centre for Mental Health, Glen Road,E13 8SP,Newham Mental Health,Inpatient Unit,PFI ,2002-07-05 00:00:00,4th July 2037,No,,13,7411.0,7311.0,100.0,0.0,0.7411
Newham Centre for Mental Health, Glen Road, E13 8SP, UK,Newham Day/Academic Centre - Newham Day/Academic Centre (2134),2134,Newham,Newham Day/Academic Centre,Newham Day/Academic Centre,Newham Centre for Mental Health, Glen Road,E13 8SP,Newham Mental Health,Academic/Day Centre,PFI,2002-07-05 00:00:00,4th July 2037,No,,13,977.0,940.0,37.0,0.0,0.0977
Newham Centre for Mental Health, Glen Road, E13 8SP, UK,Coborn Adolescent Unit  - Coborn Adolescent Unit  (2135),2135,Newham,Coborn Adolescent Unit ,Coborn Adolescent Unit ,Newham Centre for Mental Health, Glen Road,E13 8SP,Children and Specialist Services,CAMHS/ Inpatient Unit,PFI,2002-07-05 00:00:00,4th July 2037,No,,13,2400.0,2384.0,16.0,0.0,0.24
Newham Centre for Mental Health, Glen Road, E13 8SP, UK,Newham University Hospital - Newham House 15 (2131),2131,Newham,Newham University Hospital,Newham House 15,Newham Centre for Mental Health, Glen Road,E13 8SP,Newham Mental Health,Perinatal Team,PERIODIC UNDOCUMENTED TENANCY,1905-07-10 00:00:00,No lease in place,No,,14,43.08,0.0,4308.0,0.0,0.004308
Shrewsbury Road , E7 8QR, UK,Passmore Edwards Building - Passmore Edwards (2136),2136,Newham,Passmore Edwards Building,Passmore Edwards,Shrewsbury Road ,E7 8QR,Newham Mental Health,CMHT NE / EIS / CCN,FREEHOLD,,,,,0,539.0,530.0,9.0,0.0,0.0539
103 First Avenue, E13 8AP, UK,First Avenue Resource Centre - First Avenue Day Hospital (2138),2138,Newham,First Avenue Resource Centre,First Avenue Day Hospital,103 First Avenue,E13 8AP,Newham Mental Health,MHCOP,FREEHOLD,,,,,0,950.0,250.0,12.0,0.0,0.095
411 Barking Road , E13 8AL, UK,York House - York House (2140),2140,Newham,York House,York House,411 Barking Road ,E13 8AL,Children and Specialist Services,NEWHAM Crisis/HTT - Team Base,LEASEHOLD,2019-06-26 00:00:00,2029-06-25 00:00:00,Yes,,5,1073.0,1017.0,56.0,0.0,0.1073
385 Barking Road , E13 8AL, UK,385 Barking Road - 385 Barking Road (2141),2141,Newham,385 Barking Road,385 Barking Road,385 Barking Road ,E13 8AL,Children and Specialist Services,Home Treatment Team - Team base,LEASEHOLD,2008-02-12 00:00:00,2028-02-11 00:00:00,Yes,,4,156.0,150.0,6.0,0.0,0.0156
409 Stratford High St , E15 4QZ, UK,409 Stratford High St  - 409 Stratford High St  (2142),2142,Newham,409 Stratford High St ,409 Stratford High St ,409 Stratford High St ,E15 4QZ,Newham Mental Health,PTS,LEASEHOLD,1923-06-24 00:00:00,Lease negotiation period extended to 31st January 2025,Yes,,0,408.0,396.0,12.0,0.0,0.0408
115 Balaam St , E13 8AF, UK,115 Balaam St - 115 Balaam St (2143),2143,Newham,115 Balaam St,115 Balaam St,115 Balaam St ,E13 8AF,Newham Mental Health,PTS/Clozapine Clinic,FREEHOLD,,,,,0,198.0,185.0,5.0,0.0,0.0198
117 Balaam St , E13 8AF, UK,117 Balaam St - 117 Balaam St (2144),2144,Newham,117 Balaam St,117 Balaam St,117 Balaam St ,E13 8AF,Newham Mental Health, CIMHS S/ Mental Health Services,FREEHOLD,,,,,0,174.0,185.0,5.0,0.0,0.0174
119 Balaam St , E13 8AF, UK,119 Balaam St - 119 Balaam St (2145),2145,Newham,119 Balaam St,119 Balaam St,119 Balaam St ,E13 8AF,Newham Mental Health & Specialist Services,Team Base,FREEHOLD,,,,,0,157.0,185.0,5.0,0.0,0.0157
121 Balaam St , E13 8AF, UK,121 Balaam St - 121 Balaam St (2146),2146,Newham,121 Balaam St,121 Balaam St,121 Balaam St ,E13 8AF,Children and Specialist Services,IAPT,FREEHOLD,,,,,0,197.0,185.0,5.0,0.0,0.0197
63 Appleby Road , E16 1LQ, UK,Appleby Centre - Appleby Centre (2147),2147,Newham,Appleby Centre,Appleby Centre,63 Appleby Road ,E16 1LQ,Newham CHS / Kent Dental Foundation Trust / Newham Mental Health,Foot Health / CCNT / Kent Dental / Early Intervention in Psychosis Service (EIPS) alongside CHN services,FREEHOLD,,,,,0,1431.0,1372.0,59.0,0.0,0.1431
478 Barking Road , E6 2LT, UK,Joyce Campbell  - Joyce Campbell  (2148),2148,Newham,Joyce Campbell ,Joyce Campbell ,478 Barking Road ,E6 2LT,Children and Specialist Services,SCYPS,FREEHOLD,,,,,0,238.0,228.0,10.0,0.0,0.0238
494 Katherine Road , E7 8DP, UK,Katherine Road - 494 Katherine Road (2149),2149,Newham,Katherine Road,494 Katherine Road,494 Katherine Road ,E7 8DP,Children and Specialist Services,IAPT,FREEHOLD,,,,,0,335.0,328.0,7.0,0.0,0.0335
19 - 21 High St South , E6 6EN, UK,19 - 21 High St South - 19 - 21 High St South (2150),2150,Newham,19 - 21 High St South,19 - 21 High St South,19 - 21 High St South ,E6 6EN,Childrens and Specialist Services,Sickle Cell & Thalasaemia team base,LEASEHOLD,2013-04-01 00:00:00,2028-03-31 00:00:00,Yes,,4,211.0,211.0,0.0,0.0,0.0211
29 Romford Road , E15 4LY, UK,29 Romford Road - 29 Romford Road (2151),2151,Newham,29 Romford Road,29 Romford Road,29 Romford Road ,E15 4LY,Newham CHS,MSK , LD Services, Cardiac Rehab, Continence and Pelvic Rehab,LEASEHOLD,2022-01-10 00:00:00,2027-01-09 00:00:00,Yes,,3,789.0,733.0,21.0,0.0,0.0789
7-9 Edith Road , E6 1DE, UK,7-9 Edith Road  - 7-9 Edith Road (2243),2243,Newham,7-9 Edith Road ,7-9 Edith Road,7-9 Edith Road ,E6 1DE,CORPORATE - Estates,two adjacent small houses let to Housing Association to provide homes for life for former patients with mental health problems ,FREEHOLD,,2029 * lease end,Yes,,0,145.0,,,0.0,0.0145
29-31 Edith Road , E6 1DE, UK,29-31 Edith Road  - 29-31 Edith Road (2244),2244,Newham,29-31 Edith Road ,29-31 Edith Road,29-31 Edith Road ,E6 1DE,CORPORATE - Estates,two adjacent small houses let to Housing Association to provide homes for life for former patients with mental health problems ,FREEHOLD,,2029 * lease end,Yes,,0,145.0,,,0.0,0.0145
Royal Wharf, N Woolwich Rd, E16 2TH, UK,E16 Health - Pontoon Dock - Pontoon Docks (nan),,Newham,E16 Health - Pontoon Dock,Pontoon Docks,Royal Wharf, N Woolwich Rd,E16 2TH,ELFT 50% Stakeholder (ELFT do not occupy the building),,JOINT VENTURE (50% share with LBN),,,,,,1164.0,,,,0.1164
12 Kenworthy Road, E9 5TD, UK,John Howard Centre  - John Howard Centre  (2156),2156,Forensics,John Howard Centre ,John Howard Centre ,12 Kenworthy Road,E9 5TD,FORENSIC ,Inpatient Facility ,FREEHOLD,,,,,0,13052.0,,,0.0,1.3052
